accuracy,foragers,recruits,min_cycles,max_cycles,avg_cycles,file_name
100,41,59,2,875,137.46,results_10_nodes_60_bees_3_scouts_2000_cycles.csv
100,37,63,1,759,113.05,results_10_nodes_60_bees_6_scouts_2000_cycles.csv
100,36,64,1,652,109.6,results_10_nodes_60_bees_6_scouts_2500_cycles.csv
100,34,66,2,872,214.93,results_10_nodes_30_bees_3_scouts_1500_cycles.csv
100,33,67,2,1570,239.43,results_10_nodes_30_bees_2_scouts_2500_cycles.csv
100,32,68,1,1355,212.53,results_10_nodes_30_bees_2_scouts_2000_cycles.csv
100,32,68,1,1174,218.88,results_10_nodes_30_bees_3_scouts_2000_cycles.csv
100,31,69,1,478,130.81,results_10_nodes_60_bees_3_scouts_1500_cycles.csv
100,30,70,1,945,146.14,results_10_nodes_60_bees_3_scouts_2500_cycles.csv
100,30,70,1,714,93.59,results_10_nodes_60_bees_6_scouts_1500_cycles.csv
100,23,77,1,966,208.65,results_10_nodes_30_bees_3_scouts_2500_cycles.csv
99,41,59,1,2281,528.65,results_10_nodes_60_bees_0_scouts_2500_cycles.csv
99,33,67,2,1315,262.02,results_10_nodes_30_bees_2_scouts_1500_cycles.csv
97,41,59,1,1995,477.75,results_10_nodes_60_bees_0_scouts_2000_cycles.csv
95,28,72,1,1478,422.64,results_10_nodes_60_bees_0_scouts_1500_cycles.csv
92,41,59,2,2485,862.34,results_10_nodes_30_bees_0_scouts_2500_cycles.csv
73,42,58,2,1999,781.79,results_10_nodes_30_bees_0_scouts_2000_cycles.csv
70,38,62,1,1342,557.48,results_10_nodes_30_bees_0_scouts_1500_cycles.csv
